Name,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Kells Bay House And Gardens,-10.0996974,52.0228779,Kerry,Kells Kerry,Republic of Ireland,"Restaurant,Gardening,Nature and Wildlife,Walking,Forest Park,Park and Forest Walk,Gardens,Garden,Natural Landscape,Cafe,Food and Drink"
Irish Adventures,-10.2753169,52.1394275,Kerry,Dingle,Republic of Ireland,"Climbing,Activity Operator,Cycling,Kayaking,Walking,Boat,Tour"
Hore Abbey,-7.89814,52.5186104,Tipperary,Cashel,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Rock Of Dunamase,-7.210121,53.031526,Laois,Portlaoise,Republic of Ireland,"Photography,Learning,Walking,Historic Houses and Castle,Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Natural Landscape,Ruins"
Drombeg Stone Circle,-9.086958,51.564623,Cork,Glandore,Republic of Ireland,
Cloughaneely Golf Club,-8.0955686,55.1448281,Donegal,Falcarragh,Republic of Ireland,"Golf Course,Golf"
Fourknocks Megalithic Passage Tomb,-6.3264915,53.5965655,Meath,Ardcath,Republic of Ireland,
Gash Gardens,-7.4868403,52.97097,Laois,Castletown,Republic of Ireland,"Gardening,Nature and Wildlife,Photography,Learning,Walking,Gardens,Garden,Food Shops,Shopping"
Knowth Passage Tombs,-6.491835,53.701971,Meath,Slane,Republic of Ireland,"Photography,Learning,Museums and Attraction,Cafe,Food and Drink,Tour"
Glengarriff Bamboo Park,-9.5355976,51.7518229,Cork,Glengarriff,Republic of Ireland,"Walking,Gardens,Garden"
Bundoran Golf Club,-8.2749121,54.4865854,Donegal,Bundoran,Republic of Ireland,"Golf Course,Golf"
St Stephens Green,-6.260346496,53.33956264,Dublin,Dublin City,Republic of Ireland,"Public Park,Nature and Wildlife"
Old Dublin City Wall,-6.2751245,53.3431041,Dublin,Dublin City,Republic of Ireland,"Ruins,Historic Houses and Castle"
Cobh Farmers Market,-8.2955411,51.8496133,Cork,Cobh,Republic of Ireland,"Food and Drink,Restaurant,Shopping,Food Shops"
Hidden Trails,-6.9555948,52.5415402,Kilkenny,Graiguenamanagh,Republic of Ireland,"Cycling,Kayaking,Activity Operator,Walking,Bike Rental,Tour"
Wild Ireland,-7.3386082,55.0522279,Donegal,Muff,Republic of Ireland,"Visitor Farm,Tour"
Portsalon Beach,-7.6092788,55.1883572,Donegal,Portsalon,Republic of Ireland,Beach
The John F Kennedy Memorial Park,-6.9337067,52.3209882,Wexford,New Ross,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Old Mellifont Abbey,-6.4663605,53.7420183,Louth,Drogheda,Republic of Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Tour"
National Botanic Gardens  Kilmacurragh,-6.1478112,52.9292653,Wicklow,Rathdrum,Republic of Ireland,"Gardens,Garden,Cafe,Food and Drink"
Maynooth Castle,-6.5943469,53.3808581,Kildare,Maynooth,Republic of Ireland,"Historic Houses and Castle,Castle,Ruins,Cafe,Food and Drink,Tour"
Loughcrew Cairns,-7.1120081,53.7445758,Meath,Oldcastle,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle,Cafe,Food and Drink,Tour"
Heywood Gardens,-7.3085827,52.8881846,Laois,Ballinakill,Republic of Ireland,"Gardening,Nature and Wildlife,Historic Houses and Castle,Gardens,Garden"
Phoenix Park Visitor Centre and Ashtown Castle,-6.3309742,53.3661176,Dublin,Dublin City,Republic of Ireland,"Castle,Historic Houses and Castle"
aÅras an Uachtaraiin,-6.3173567,53.3595948,Dublin,Dublin City,Republic of Ireland,"Gardens,Garden,Historic Houses and Castle"
Time Outside Nature Walks,-7.112821354,52.2593774,Waterford,Waterford City,Republic of Ireland,"Walking,Activity Operator,Tour"
